id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
233,Dawn Granger (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,124,"1988, October",1988
234,Maxima (New Earth),Public Identity,Good Characters,Brown Eyes,Red Hair,Deceased Characters,124,"1989, September",1989
235,Inza Cramer (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Deceased Characters,124,"1940, May",1940
236,Gunner MacKay (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,123,"1959, May",1959
237,Linda Danvers (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,123,"1996, September",1996
238,Dubbilex (New Earth),Public Identity,Good Characters,Green Eyes,Unknown or None,Living Characters,123,"1971, March",1971
239,Jack Knight (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,122,"1994, September",1994
240,Antonia Monetti (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,122,"1996, October",1996
241,Skeets (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,122,"1986, February",1986
242,Sarge Clay (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,121,"1959, May",1959
243,Nimue Inwudu (New Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Living Characters,121,"1978, February",1978
244,Khaji Da (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,121,"1964, June",1964
245,Elizabeth Lawrence (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Living Characters,120,"1942, December",1942
246,Pallas Athena (New Earth),Public Identity,Neutral Characters,Grey Eyes,Brown Hair,Living Characters,118,"1958, May",1958
247,Terrence Long (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,116,"1981, June",1981
248,Evan McCulloch (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,116,"1989, February",1989
249,Crispus Allen (New Earth),Secret Identity,Good Characters,Brown Eyes,Unknown or None,Deceased Characters,116,"2000, March",2000
250,Granny Goodness (New Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Deceased Characters,115,"1971, June",1971
251,Zeus (New Earth),Public Identity,Neutral Characters,Blue Eyes,White Hair,Living Characters,115,"1941, December",1941
252,Dolphin (New Earth),Unknown,Good Characters,Blue Eyes,Silver Hair,Deceased Characters,115,"1968, December",1968
253,Strata (New Earth),Public Identity,Good Characters,White Eyes,Unknown or None,Living Characters,115,"1989, February",1989
254,Holly Robinson (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,114,"1987, February",1987
255,Martha Kane (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,113,"1987, February",1987
256,John Sargent (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,113,"1941, May",1941
257,Dian Belmont (New Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Deceased Characters,113,"1940, February",1940
258,Jason Woodrue (New Earth),Public Identity,Bad Characters,Red Eyes,Green Hair,Living Characters,113,"1962, July",1962
259,Leslie Thompkins (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,111,"1976, March",1976
260,Edward Bloomberg (New Earth),Secret Identity,Good Characters,Yellow Eyes,Grey Hair,Deceased Characters,111,"1984, June",1984
261,Tara Markov (Team Titans),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,110,1991,1991
262,Dmitri Pushkin (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,110,"1987, February",1987
263,June Moone (New Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Living Characters,110,"1966, April",1966
264,Ohiyesa I (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,109,"1949, September",1949
265,Mia Dearden (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,109,"2001, May",2001
266,Krypto (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,109,"1955, March",1955
267,Donald Richards (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,109,"1942, March",1942
268,Thomas Blake (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,108,"1963, January",1963
269,Leonid Kovar (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,108,"1968, December",1968
270,Zauriel (New Earth),Public Identity,Good Characters,Red Eyes,White Hair,Living Characters,108,"1997, June",1997
271,Emily Briggs (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,107,"1985, September",1985
272,Lilith Clay (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Deceased Characters,107,"1970, February",1970
273,Hans von Hammer (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,106,"1965, February",1965
274,Thomas Tresser (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,106,"1980, September",1980
275,William Polk (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,106,"1948, February",1948
276,Jervis Tetch (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,105,"1948, October",1948
277,Lyla Michaels (New Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Deceased Characters,105,"1982, July",1982
278,Bruce Gordon (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,105,"1963, July",1963
279,Sugar Plumm (New Earth),Unknown,Good Characters,Unknown or None,Blond Hair,Living Characters,105,"1956, May",1956
280,Aphrodite (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,104,"1941, December",1941
281,Enya Wazzo (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,104,"1989, November",1989
282,Zinda Blake (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,104,"1959, February",1959
283,Werner Vertigo (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,104,"1978, July",1978
284,Sapphire Stagg (New Earth),Unknown,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,104,"1965, January",1965
285,Cecil Wilson (New Earth),Unknown,Good Characters,Unknown or None,Red Hair,Living Characters,104,"1956, May",1956
286,Sarah Essen (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,103,"1987, March",1987
287,Rip Hunter (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Living Characters,103,"1959, June",1959
288,Wing How (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,103,"1938, October",1938
289,Jade Nguyen (New Earth),Secret Identity,Bad Characters,Green Eyes,Black Hair,Living Characters,103,"1983, August",1983
290,Jack Drake (New Earth),Unknown,Good Characters,Black Eyes,Brown Hair,Deceased Characters,102,"1989, August",1989
291,Vril Dox I (New Earth),Secret Identity,Bad Characters,Green Eyes,Unknown or None,Living Characters,102,"1988, March",1988
292,Adolf Hitler (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,101,"1942, March",1942
293,Grace Choi (New Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,100,"2003, August",2003
294,Lawrence Jordan (New Earth),Secret Identity,Unknown or None,Brown Eyes,Brown Hair,Deceased Characters,100,"1942, February",1942
295,Natasha Irons (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,99,"1994, February",1994
296,Katherine Spencer (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,98,"2004, October",2004
297,Lorraine Reilly (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,98,"1982, June",1982
298,Noah Kuttler (New Earth),Public Identity,Bad Characters,Green Eyes,Brown Hair,Living Characters,98,"1976, September",1976
299,Stealth (New Earth),Secret Identity,Good Characters,Pink Eyes,White Hair,Deceased Characters,98,"1989, February",1989
300,Jan Haasan (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,98,"1942, June",1942
301,Despero (New Earth),Public Identity,Bad Characters,Yellow Eyes,Unknown or None,Living Characters,98,"1960, November",1960
302,Jeffrey Franklin Burr (New Earth),Secret Identity,Bad Characters,Black Eyes,Unknown or None,Deceased Characters,97,"1976, March",1976
303,Hippolyta Trevor (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,97,"1983, February",1983
304,Tef\u00e9 Holland (New Earth),Unknown,Bad Characters,Blue Eyes,White Hair,Living Characters,97,"1989, December",1989
305,Bizarro (New Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Living Characters,96,"2000, September",2000
306,Henry Henshaw (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,96,"1990, May",1990
307,Charles Dickles (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,96,"1941, June",1941
308,Dream (New Earth),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Deceased Characters,95,"1989, January",1989
309,Black Manta (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,95,"1967, October",1967
310,Felix Faust (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,95,"1962, March",1962
311,Maxine Hunkel (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,95,"2007, February",2007
312,Wade Eiling (New Earth),Public Identity,Bad Characters,Red Eyes,Brown Hair,Living Characters,95,"1987, March",1987
313,James Harper (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,94,"1942, April",1942
314,Virgil Hawkins (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,94,"1993, June",1993
315,Soranik Natu (New Earth),Public Identity,Good Characters,Purple Eyes,Black Hair,Living Characters,93,"2005, November",2005
316,Roman Sionis (New Earth),Public Identity,Bad Characters,Black Eyes,Unknown or None,Deceased Characters,92,"1985, August",1985
317,Merlin (New Earth),Secret Identity,Neutral Characters,Black Eyes,White Hair,Living Characters,92,"1936, February",1936
318,"Henry King, Jr. (New Earth)",Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Living Characters,92,"1983, August",1983
319,Abin Sur (New Earth),Public Identity,Good Characters,Blue Eyes,Unknown or None,Deceased Characters,92,"1959, October",1959
320,Citizen Abra (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,92,"1962, May",1962
321,Orm Marius (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,92,"1966, October",1966
322,Anissa Pierce (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,92,"2003, August",2003
323,Jonathan Tane (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,91,"1948, August",1948
324,Danette Reilly (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,91,"1981, August",1981
325,William Payton (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,91,"1988, October",1988
326,Hermes (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,90,"1959, April",1959
327,Ronald Troupe (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,90,"1991, July",1991
328,William Storm (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,90,"1964, June",1964
329,Timothy Hunter (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,89,"1990, December",1990
330,William Zard (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,89,"1947, April",1947
331,Eobard Thawne (New Earth),Secret Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,89,"1963, September",1963
332,Sandra Wu-San (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,89,"1976, January",1976
333,Taghurrhu (New Earth),Public Identity,Good Characters,Green Eyes,Orange Hair,Living Characters,89,"1981, June",1981
334,Bobo T. Chimpanzee (New Earth),Unknown,Unknown or None,Black Eyes,Black Hair,Living Characters,88,"1952, August",1952
335,Arnold Wesker (New Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Deceased Characters,88,"1988, February",1988
336,David Clinton (New Earth),Secret Identity,Unknown or None,Blue Eyes,Black Hair,Living Characters,88,"1962, November",1962
337,Philippus (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,88,"1987, February",1987
338,Miriam Delgado (Team Titans),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,87,1991,1991
339,Peter Ross (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,87,"1961, January",1961
340,Mikaal Tomas (New Earth),Secret Identity,Good Characters,Blue Eyes,Purple Hair,Living Characters,87,"1976, March",1976
341,Mister Bones (New Earth),Secret Identity,Neutral Characters,Unknown or None,Unknown or None,Living Characters,87,"1985, July",1985
342,Sardath (New Earth),Public Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,86,"1958, December",1958
343,Suzanne King-Jones (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,86,"1997, August",1997
344,Harold Thompson (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Living Characters,86,"1938, June",1938
345,Herakles (New Earth),Public Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,86,"1941, December",1941
346,Rosabelle Mendez (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Deceased Characters,86,"1991, February",1991
347,Matthew Tyler (New Earth),Public Identity,Good Characters,White Eyes,Unknown or None,Deceased Characters,86,"1997, November",1997
348,Congorilla (New Earth),Public Identity,Good Characters,Blue Eyes,Gold Hair,Living Characters,85,"1959, January",1959
349,Shayera Thal (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,85,"1989, August",1989
350,Mallah (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,85,"1964, March",1964
351,Julia Deneiros (New Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,84,"1987, April",1987
352,Thomas Elliot (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,84,"2003, January",2003
353,Greta Hayes (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,84,"1998, June",1998
354,Jonathan Law (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Deceased Characters,84,"1941, October",1941
355,Etta Candy (New Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Living Characters,84,"1942, February",1942
356,Parallax (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,84,"1994, March",1994
357,Simon Stagg (New Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Living Characters,83,"1965, January",1965
358,"Rex, the Wonder Dog (New Earth)",Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,83,"1952, February",1952
359,Thomas Bronson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,83,"2007, February",2007
360,Karen Beecher (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,83,"1976, December",1976
361,Ellen Frazier (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,83,"1965, September",1965
362,Norda Cantrell (New Earth),Secret Identity,Unknown or None,White Eyes,Brown Hair,Living Characters,83,"1983, September",1983
363,Thomas Monaghan (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,82,1993,1993
364,Hannibal Hawkes (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,82,"1948, October",1948
365,Terrence Thirteen (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,82,"1951, November",1951
366,Kalibak (New Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Deceased Characters,82,"1971, March",1971
367,Drury Walker (New Earth),Secret Identity,Bad Characters,Red Eyes,Brown Hair,Deceased Characters,82,"1951, February",1951
368,Tomar-Tu (New Earth),Secret Identity,Good Characters,White Eyes,Unknown or None,Living Characters,82,"1990, October",1990
369,Isamot Kol (New Earth),Secret Identity,Good Characters,Yellow Eyes,Unknown or None,Living Characters,82,"2005, November",2005
370,Baran Flinders (New Earth),Public Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,81,"1981, January",1981
371,Mark Shaw (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,81,"1975, August",1975
372,Neal Emerson (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,81,"1963, June",1963
373,Circe (New Earth),Public Identity,Bad Characters,Red Eyes,Purple Hair,Living Characters,81,"1988, August",1988
374,Vanessa Kapatelis (New Earth),Unknown,Good Characters,Blue Eyes,Brown Hair,Living Characters,80,"1987, April",1987
375,Samuel Scudder (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,80,"1959, March",1959
376,Malcolm Duncan (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,80,"1970, April",1970
377,Lian Harper (New Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Deceased Characters,80,"1986, June",1986
378,Cameron Chase (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,80,"1998, January",1998
379,John Corben (New Earth),Secret Identity,Bad Characters,Photocellular Eyes,Brown Hair,Living Characters,80,"1987, January",1987
380,Abigail Hunkel (New Earth),Secret Identity,Good Characters,Black Eyes,Brown Hair,Living Characters,79,"1939, June",1939
381,Sasha Bordeaux (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,79,"2000, December",2000
382,Valentina Vostok (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,79,"1977, September",1977
383,Paul Booker (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,79,"1966, March",1966
385,Cyril Saunders (New Earth),Public Identity,Good Characters,Hazel Eyes,White Hair,Living Characters,79,"1937, March",1937
386,L-Ron (New Earth),Public Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,79,"1988, June",1988
387,Rudolph Jones (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,79,"1987, April",1987
388,Hector Hammond (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,78,"1961, April",1961
389,Christopher Smith (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,78,"1966, November",1966
390,Roger Hayden (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Deceased Characters,78,"1965, June",1965
391,Owen Mercer (New Earth),Secret Identity,Reformed Criminals,Blue Eyes,Red Hair,Deceased Characters,78,"2004, October",2004
392,"Thaddeus Sivana, Sr. (New Earth)",Public Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,77,"1987, April",1987
393,Samuel Lane (New Earth),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Deceased Characters,77,"1987, January",1987
394,Lashina (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,77,"1972, February",1972
395,Lorena Marquez (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,77,"2004, May",2004
396,Joshua Clay (New Earth),Secret Identity,Unknown or None,Brown Eyes,Black Hair,Deceased Characters,77,"1977, September",1977
397,Boodikka (New Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Deceased Characters,77,"1992, January",1992
398,Brain (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,77,"1964, March",1964
399,Java (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,76,"1965, January",1965
400,Adrian Chase (New Earth),Public Identity,Unknown or None,Blue Eyes,Blond Hair,Deceased Characters,76,"1982, September",1982
401,Curtis Metcalf (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,76,"1993, April",1993
402,Captain Harding (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,76,"1956, February",1956
403,Horace Canfield (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,76,"1961, April",1961
404,Brik (New Earth),Secret Identity,Good Characters,White Eyes,Unknown or None,Living Characters,76,"1991, May",1991
405,"Richard Flag, Jr. (New Earth)",Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,75,"1959, September",1959
406,Sarah Charles (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,75,"1985, September",1985
407,Helena Sandsmark (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,75,"1996, January",1996
408,Tomar-Re (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Deceased Characters,75,"1961, June",1961
409,Starro (New Earth),Unknown,Bad Characters,Black Eyes,Unknown or None,Living Characters,74,"1960, March",1960
410,Winslow Schott (New Earth),Public Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,74,"1943, September",1943
411,Nathaniel Heywood (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,74,"2007, March",2007
412,Ultra-Humanite (New Earth),Secret Identity,Unknown or None,Red Eyes,White Hair,Living Characters,74,"1939, June",1939
413,Matthew Cable (New Earth),Secret Identity,Unknown or None,Unknown or None,Black Hair,Living Characters,74,"1972, November",1972
414,Topo (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,74,"1956, October",1956
415,Hugh Dawkins (New Earth),Secret Identity,Good Characters,White Eyes,Blond Hair,Living Characters,74,"1986, November",1986
416,Victor Zsasz (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,73,"1992, June",1992
417,Kay Challis (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,73,"1989, February",1989
418,Roland Desmond (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,73,"1965, November",1965
419,Dane Dorrance (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,73,"1960, August",1960
420,Flying Cloud (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,73,"1960, December",1960
421,Carl Sands (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,73,"1961, July",1961
422,Neron (New Earth),Secret Identity,Bad Characters,White Eyes,Blond Hair,Living Characters,73,"1995, November",1995
423,Cain (New Earth),Public Identity,Bad Characters,Black Eyes,Brown Hair,Living Characters,72,"1968, August",1968
424,Steven Trevor (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,72,"1941, December",1941
425,Garryn Bek (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,72,"1989, January",1989
426,Jose Delgado (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,72,"1987, May",1987
427,"Peter Merkel, Jr. (New Earth)",Secret Identity,Bad Characters,Grey Eyes,Red Hair,Living Characters,72,"2005, July",2005
428,Mogo (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,72,"1985, May",1985
429,Louise Lincoln (New Earth),Public Identity,Bad Characters,Blue Eyes,Blue Hair,Living Characters,71,"1984, March",1984
430,Thomas Oscar Morrow (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,71,"1964, March",1964
431,Brian Savage (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,71,"1977, April",1977
432,Edgar Cizko (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,71,"1991, May",1991
433,Amazo (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,71,"1960, July",1960
434,Kingsley Faraday (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,70,"1950, August",1950
435,Nabu (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,69,"1941, May",1941
436,Clifford Zmeck (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,69,"1988, February",1988
437,Hop Harrigan (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,68,"1939, April",1939
438,Bleez (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,68,"2008, December",2008
439,Tara Markov (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,68,"1982, December",1982
440,Isaac Bowin (New Earth),Secret Identity,Unknown or None,Blue Eyes,Unknown or None,Deceased Characters,68,"1948, January",1948
441,Catherine Cobert (New Earth),Unknown,Good Characters,Blue Eyes,Black Hair,Living Characters,68,"1987, December",1987
442,Harry Stein (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,68,"1985, November",1985
443,Adeline Kane (New Earth),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Deceased Characters,68,"1983, August",1983
444,Green Man (New Earth),Public Identity,Unknown or None,Red Eyes,Unknown or None,Deceased Characters,68,"1983, May",1983
445,Shakira (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,68,"1980, April",1980
446,Tara Morgan (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,68,"1975, November",1975
447,Hannu (New Earth),Public Identity,Good Characters,White Eyes,Unknown or None,Living Characters,68,"1994, February",1994
448,Vath Sarn (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,67,"2005, November",2005
449,Mercy Graves (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,67,"1999, August",1999
450,Arnold Munro (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,67,"1987, June",1987
451,Lydea Mallor (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,67,"1982, August",1982
452,Lawrence Bolatinsky (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,67,"1984, November",1984
453,Jebediah of Canaan (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,67,"1987, April",1987
454,Bibbo Bibbowski (New Earth),Public Identity,Good Characters,Grey Eyes,Grey Hair,Living Characters,67,"1987, May",1987
455,Sonia Sato (New Earth),Secret Identity,Good Characters,Unknown or None,Black Hair,Living Characters,67,"2007, January",2007
456,Frances Kane (New Earth),Public Identity,Unknown or None,Blue Eyes,Purple Hair,Living Characters,66,"1982, March",1982
457,Daniel Dunbar (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,66,"1942, March",1942
458,Tana Moon (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,66,"1993, June",1993
459,Jason Bard (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,66,"1969, October",1969
460,Krona (New Earth),Public Identity,Bad Characters,Green Eyes,White Hair,Deceased Characters,66,"1965, October",1965
461,Maxine Baker (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,66,"1988, September",1988
462,Garv (New Earth),Public Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,65,"1990, May",1990
463,Mackenzie Bock (New Earth),Public Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,65,"1995, January",1995
464,Scandal Savage (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,65,"2005, July",2005
465,Karen Lou Faulkner (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,65,"1987, July",1987
466,Albert Desmond (New Earth),Unknown,Unknown or None,Green Eyes,Red Hair,Living Characters,65,"1958, April",1958
